ifInOctets11,ifOutOctets11,ifoutDiscards11,ifInUcastPkts11,ifInNUcastPkts11,ifInDiscards11,ifOutUcastPkts11,ifOutNUcastPkts11,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpEstabResets,tcp?ActiveOpens,udpInDatagrams,udpOutDatagrams,udpInErrors,udpNoPorts,ipInReceives,ipInDelivers,ipOutRequests,ipOutDiscards,ipInDiscards,ipForwDatagrams,ipOutNoRoutes,ipInAddrErrors,icmpInMsgs,icmpInDestUnreachs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps,class,in_smooth,out_smooth,anamoly_in,anamoly_out,ifInOctets11_anomaly,ifOutOctets11_anomaly,ifoutDiscards11_anomaly,ifInUcastPkts11_anomaly,ifInNUcastPkts11_anomaly,ifInDiscards11_anomaly,ifOutUcastPkts11_anomaly,ifOutNUcastPkts11_anomaly,tcpOutRsts_anomaly,tcpInSegs_anomaly,tcpOutSegs_anomaly,tcpPassiveOpens_anomaly,tcpRetransSegs_anomaly,tcpCurrEstab_anomaly,tcpEstabResets_anomaly,tcp?ActiveOpens_anomaly,udpInDatagrams_anomaly,udpOutDatagrams_anomaly,udpInErrors_anomaly,udpNoPorts_anomaly,ipInReceives_anomaly,ipInDelivers_anomaly,ipOutRequests_anomaly,ipOutDiscards_anomaly,ipInDiscards_anomaly,ipForwDatagrams_anomaly,ipOutNoRoutes_anomaly,ipInAddrErrors_anomaly,icmpInMsgs_anomaly,icmpInDestUnreachs_anomaly,icmpOutMsgs_anomaly,icmpOutDestUnreachs_anomaly,icmpInEchos_anomaly,icmpOutEchoReps_anomaly,in_smooth_anomaly,out_smooth_anomaly,anomalies_score
4101085908,1421308979,196630,235766182,34185,196630,89951719,8071,4,195,189,12,0,0,8,10,359391,286241,0,28,325806057,366315,286480,9,39,325727122,7,62,12,11,13,12,1,1,icmp-echo,2624300179.36,481535168.68,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4
4214630662,1446954743,196630,235861882,34194,196630,89998521,8072,4,195,189,12,0,0,8,10,359643,286493,0,28,325947998,366567,286732,9,39,325869115,7,62,12,11,13,12,1,1,icmp-echo,2643411941.24,505241787.66,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4
3926391686,1381880323,196630,235673048,34176,196630,89906203,8070,4,195,189,12,0,0,8,10,359139,285989,0,28,325663018,366063,286228,9,39,325584121,7,62,12,11,13,12,1,1,icmp-echo,2604897041.92,458325417.5,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4
2554733358,2898672968,193843,145943544,21922,193843,58163291,5486,4,195,189,12,0,0,8,10,175012,129261,0,28,204211698,179656,129500,4,39,204161921,7,62,12,11,13,12,1,1,slowpost,1642060568.7,2874089824.56,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3
4201077565,4130670363,196630,219344275,31939,196630,81665549,7666,4,195,189,12,0,0,8,10,338064,270817,0,28,301277784,344652,271056,7,39,301209333,7,62,12,11,13,12,1,1,bruteForce,2587487340.64,1907189830.78,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3
2731521782,2900089986,193843,146086170,21930,193843,58179552,5487,4,195,189,12,0,0,8,10,175328,129513,0,28,204321258,179974,129752,4,39,204271572,7,62,12,11,13,12,1,1,slowpost,1695248306.2,2875194058.58,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3
2453645026,2897861711,193843,145861998,21908,193843,58138316,5486,4,195,189,12,0,0,8,10,174695,129009,0,28,204104242,179341,129248,4,39,204054527,7,62,12,11,13,12,1,1,slowpost,1675692874.72,2872974907.14,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3
1387479040,1119990576,196630,233230512,33692,196630,88979346,7909,4,195,189,12,0,0,8,10,354321,283251,0,28,322481823,361103,283490,7,39,322409479,7,62,12,11,13,12,1,1,bruteForce,1885727033.0,1159588964.2,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3
695699230,2664203816,193843,120911609,17589,193843,53994589,4592,4,195,189,12,0,0,8,10,99060,62773,0,28,174971566,102904,63012,4,39,174933229,7,62,12,11,13,12,1,1,udp-flood,1715280742.48,2637713000.68,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3
897504070,2665170962,193843,121092848,17599,193843,54010344,4593,4,195,189,12,0,0,8,10,99384,63025,0,28,175186723,103228,63264,4,39,175148612,7,62,12,11,13,12,1,1,udp-flood,1647484163.02,2638783901.52,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3
